LET_MeV_cm2_mg,sigma_normal_cm2_per_bit,sigma_iso60_cm2_per_bit
67.6082975392,1.601075701494e-07,7.116993139380e-08
69.9841996002,1.640791617304e-07,7.254278578588e-08
72.4435960075,1.680509038614e-07,7.389410147941e-08
74.9894209332,1.720158367188e-07,7.522124612467e-08
77.6247116629,1.759667432453e-07,7.652163620200e-08
80,1.793972837885e-07,7.763261091265e-08
80.3526122186,1.798961793094e-07,7.779275666190e-08
83.1763771103,1.837965084943e-07,7.903218096353e-08
86.0993752185,1.876599415601e-07,8.023759127025e-08
89.1250938134,1.914785805536e-07,8.140679853715e-08
92.2571427155,1.952444674573e-07,8.253776220452e-08
95.4992586021,1.989496371783e-07,8.362860919505e-08
98.8553094657,2.025861745802e-07,8.467765190088e-08
100,2.037817487623e-07,8.501778009134e-08
102.329299228,2.061462751477e-07,8.568340484133e-08
105.925372518,2.096223087648e-07,8.664459967356e-08
109.647819614,2.130068859663e-07,8.756019824716e-08
113.501081567,2.162929259000e-07,8.842940341035e-08
117.489755494,2.194737251241e-07,8.925166730069e-08
121.618600065,2.225430262437e-07,9.002669688617e-08
125.892541179,2.254950852928e-07,9.075445656402e-08
130.316677845,2.283247366734e-07,9.143516767333e-08
134.896288259,2.310274543955e-07,9.206930483322e-08
139.636836106,2.335994083124e-07,9.265758907904e-08
144.543977075,2.360375140303e-07,9.320097783484e-08
149.623565609,2.383394751849e-07,9.370065182755e-08
154.881661891,2.405038168326e-07,9.415799911705e-08
160.324539069,2.425299088003e-07,9.457459648312e-08
165.958690744,2.444179779764e-07,9.495218847356e-08
171.790838716,2.461691087101e-07,9.529266447592e-08
177.827941004,2.477852307139e-07,9.559803422498e-08
184.077200147,2.492690941346e-07,9.587040219920e-08
190.546071796,2.506242317605e-07,9.611194138852e-08
197.242273611,2.518549086668e-07,9.632486693289e-08
200,2.523156596991e-07,9.640290305081e-08
204.173794467,2.529660599525e-07,9.651141013467e-08
211.348903984,2.539632175792e-07,9.667379333731e-08
218.776162395,2.548524276725e-07,9.681420613858e-08
226.464430759,2.556401599741e-07,9.693478336857e-08
234.422881532,2.563332114223e-07,9.703758521201e-08
242.661009508,2.569386060730e-07,9.712457979311e-08
251.188643151,2.574634937397e-07,9.719762846969e-08
260.015956317,2.579150498151e-07,9.725847400582e-08
269.153480393,2.583003787325e-07,9.730873171003e-08
278.612116863,2.586264234227e-07,9.734988354230e-08
288.403150313,2.588998829246e-07,9.738327511185e-08
298.538261892,2.591271400195e-07,9.741011541023e-08
309.029543251,2.593142003906e-07,9.743147905557e-08
319.889510969,2.594666443746e-07,9.744831076501e-08
331.131121483,2.595895918979e-07,9.746143172626e-08
342.767786546,2.596876806899e-07,9.747154750801e-08
354.813389234,2.597650573824e-07,9.747925713229e-08
367.282300498,2.598253806402e-07,9.748506293144e-08
380.189396321,2.598718350776e-07,9.748938082604e-08
393.550075456,2.599071543905e-07,9.749255068756e-08
407.380277804,2.599336519125e-07,9.749484648830e-08
421.696503429,2.599532566804e-07,9.749648598743e-08
436.51583224,2.599675530822e-07,9.749763975520e-08
